코드	질문	label
269B	어디서 코로나라는 명칭을 만든거니?	345
217A	개인정보는 접촉자 추적중 어떻게 되나요?	240
139B	코로나 블루가 온거 같은데 어떻게 치료 하나요?	74
125B	코로나 걸린 아이들에게 가장 흔하게 나타나는 기저 질환은?	45
41A	손 세정제를 만들어서 써도 될까요?	395
109A	COVID-19 기간에 실내에서는 어떤 예방 수칙 지켜야 하나?	15
247C	코로나에 렘데시비르가 잘 듣나요?	290
10A	코로나 선별 검사 결과 양성으로 추가적인 코로나 확진 검사를 해야 할 때 본인이 비용을 지불해야 하나요?	16
74B	COVID-19 말	482
4C	하기도 검체 정보 	422
86A	개인방역 4대 보조수칙에 대해 알고싶어요 	502
126A	자녀가 기저 질환이 있을 떄 그 집은 어떤 추가적인 조치 취해야될까?	47
127B	자녀가 소아 괴질 증세 보이면 어떻게 해야 됨?	49
226A	아이들의 코로나 증상이 더 심하게 나오기도 하나요?	255
143C	외국 공항에서 코로나 관련 질문을 하기도 하나요?	87
137A	코로나가 근처에 생기면 어떻게 얘들한테 말해주는게 좋을까요?	70
146A	이 시국에 미국여행 가면 어떤 절차를 치르게 되나요?	91
58C	공기중 코로나 생존 	442
2B	코로나 유전자 검사 결과가 나오는데 얼마나 걸려요?	374
261A	코로나의 잠복기를 알려주세요	329
90A	재채기하고 소매 소독하는게 좋은가요?	510
272D	국내 코로나 감염자 숫자가 궁금합니다.	355
106A	소독제가 건강에 영향주나요?	10
8A	가래 뺴내야 할 때 음압실 	508
75A	애완동물도 코로나 검사 해야해?	483
66B	강아지 확진자 접촉	463
264B	코로나가 음식 용기 표면에 생존 할 수 있나요?	334
260A	진드기가 코로나를 퍼트릴 수 있나요?	328
182A	공동 격리 해제를 위한 기준이 어떻게되나요?	170
10A	corona 선별 검사를 했는데 양성이라 추가로 코로나 확진 검사를 해야 할 때 얼마정도 들까요?	16
249C	코로나가 천식을 악화시켜도 치료비를 지원 받을 수 있는건가요?	294
15A	학교내 출근 하지 못한 교직원들이 많으면 어떻게 해야 할까요?	131
259A	기온이 올라가면 코로나가 다 죽을까요?	321
73D	어떤 생물 및 동물 제품들을 FWS가 규제해요?	479
21B	학교가 단독으로 휴교 결정을 할 수 있나요?	246
35A	아이들에게 코로나 교육을 할 때 어떻게 해야 됨?	384
100A	2단계 거리두기 지침이 궁금해	2
137A	우리가 사는지역에 코로나가 터지면 아이들은 어떻게 준비시켜야할까요?	70
7C	어떤 증상이 있으면 조사 받아야해?	492
269B	코로나라는 이름을 만든 사람이 누군가요?	345
12B	코로나 검사 신뢰할만한가?	56
226A	코로나에 감염된 아이들의 증상은 일반인보다 더 심한가요?	255
204B	코로나 사망자 장례 참석해서 하면 안되는 행동들이 있나요?	215
27A	"원격 수험일때 어떤 방식으로 평가해요""?"	367
102A	생활 속 거리두기랑 생활 방역 차이 알려줘요	4
168A	눈으로 감염 가능성이 있다는데 렌즈 쓰는것 보단 안경이 좋나요?	145
85A	COVID-19 증상과 감기 증상 구별	501
264A	음식으로 코로나가 퍼질 수 있는지 알려주세요	333
99D	2.5단계 되면 키즈카페도 영업 불가에요?	526
186A	무증상으로 격리해제 됐다 재검출 되면 어떻게 하나요?	176
105A	생활 속 거리두기의 기본 원리에 대해 설명해주시면 감사하겠습니다	9
218A	접촉자 추적 정의	241
113B	열이 계속 38도 이상일 때 어디에 물어봐야해요?	22
57A	코로나와 독감 치료법 차이 알려줘 	438
255B	사회적 거리두기 3단계 격상 기준	314
66B	반려견이 확진자랑 겹촉했으면 어떻게 해?	463
148A	코로나 때문에 답답한데 야외 여행 좀 가면 안되나요?	97
233C	어떤 질환의 환자가 코로나에 취약한가요?	269
119A	corona 루머를 접했을 때 어떻게 대처하면 되나요?	32
156B	여행후 입국하면 자가격리 기간은 얼마나 되나요?	125
37A	휴교인 경우 수업은?	386
34A	 corona 대비하려고 학교가 하고 있는 것 	383
59A	요즘 헌혈해도 괜찮아요?	446
117A	집 마스크 	28
184A	공익 때문에 격리 안해도 된다는데 출국 가능할까요?	174
218A	접촉자 추적은 뭔지 알려주세요	241
21B	휴교할지 누가 정함?	246
40B	차아염소산나트륨으로 소독시 공간 이용	394
231B	설사로 코로나를 판단할 수 있나요?	264
91A	코로나를 마스크 만으로 완벽하게 예방할 수 있음?	511
12A	코로나 검사 결과 다시 양성 판정 받을 수 도 있나요?	55
131A	우리아이가 코로나 증상으로 아프면 어떻게 하는게 좋을까요? 	58
117A	집에 와서도 마스크 착용하고 있어야해?	28
280A	땡큐 베리머치	369
144A	동남아시아 가는거 위험하지 않나요?	88
241A	격리입원치료 비용 지원범위	281
277A	해외 입국자 방역관리는 어떻게 하고 있나요?	364
176B	임산부가 폐를 통한 코로나 감염이 더 쉽게 되나요?	158
137A	코로나가 터지면 어떻게 우리 얘들을 준비 시켜야 할까요?	70
207D	자가격리는 얼마나 하는게 좋을까요 접촉했는데	221
136C	마스크 쓰고 벗는게 힘든 사람도 마스크 착용은 필수 인가요?	68
156B	입국 Quarantine period가 얼마나 되나요?	125
63A	코로나 기간에 미국에 강아지를 데리고 가도 괜찮나요?	457
1C	가래가 낀 환자들의 경우 무엇을 채취해서 보내요?	208
66B	코로나 확진자 반려견 	463
101A	사회적 거리두기 3단계란?	3
274B	코로나 확진 기준이 어떻게 되나요?	361
47C	청소로 세균 죽이기	411
1B	필수 검체는 상기도 검체인가요?	207
0A	숨참기 못하면 코로나야?	0
115A	카페 이용시 주의할 점 알려줘	25
19B	덴마크 학교 재개 위한 준비 	204
62A	마스크의 기능은 뭐지?	455
48B	청소하면 코로나 도움 됨?	413
41B	세정제로 물건 소독해도 괜찮은가요?	396
79B	코로나 기간에 애완견을 호텔에 맡겨야 할 때 지켜야 할 규정은 뭐가 있죠?	489
230A	코로나가 걸렸는데 폐렴도 생기나?	261
73D	FWS가 규제하는 제품	479
23A	원격 수업 내용도 생활기록부에 포함 됨?	279
41B	물건 소독할 때 손 세정제로도 가능해?	396
212B	마스크로는 감염을 막기 힘든가요?ㅠ	235
5A	corona 검사는 얼마인가요?	448
225A	독감이랑 코로나는 무엇이 다른건가요?	254
250B	코로나 입원치료비의 경우 지급이 불가능 한 경우는 어떤게 있나요?	300
125A	기존에 아프던 아이가 코로나 걸리면 중증 환자가 될 가능성 높아요?	44
79B	이 시국에 반려견 미용 시킬 때 지켜야 하는 규칙 알려줘 	489
104A	생활 속 거리두기에 대해 알려줘	8
147A	열이 나네요 비행기는 못타겠죠?	93
42A	Corona바이러스랑 influenza 바이러스 공통점?	397
246A	주민등록이 말소되었는데 어떻게 치료비를 지원받나요?	287
3A	corona 검사는 어디에서 받을 수 있어요?	391
90A	기침하고 옷 소매 소독해야하나?	510
195C	자가격리 불이행을 하면 징역 생활해야되요?	197
136A	얘들도 마스크 써?	66
43A	소독약 분사하며 소독할 때 더 효과적?	398
149A	한국에서는 의심승객을 걸러내기 위해 어떤 절차를 거치나요?	100
259B	코로나는 어떤 환경에서 생존력이 좋아지나요?	322
136D	호흡에 장애가 있는데 마스크 꼭 써야되요?	69
191B	자가격리 중인 무증상 외국인인데 출국할 수 있나요?	186
132A	우리 아이의 기저질환이 악화 되면 어떻게 하나요?	59
172A	중국에서 들어 오는게 아닌데도 검역 절차가 이루어지나요?	153
68B	이 시국에 개공원에 갈 때 어떤 것들을 지켜야 할까요?	467
195B	자가격리 불이행 벌금	196
99E	사회적거리두기 2.5단계는 수도권만 해당이야?	527
259E	코로나 바이러스가 잘 퍼지는 위도가 어떻게 되죠?	325
70A	코로나 시국에 동물 보호소에서 동물 데리고 와도 되나요?	472
102A	거리두기랑 생활 방역 차이는 뭐야?	4
88A	공공 장소 비누 	504
213A	의사 진료시 밀접 접촉	236
250B	코로나 입원치료비 지급 불가능한 경우는 뭐가 있죠?	300
150A	중국 여행을 다녀온 후 주의사항은 무엇인가요?	105
146B	USA에 가도 코로나 검사를 하나요?	92
194C	격리중에는 물건을 어떻게 이용해하나요?	193
77A	코로나 유발 바이러스를 야생동물이 애완 동물한테 전파하기도 합니까?	485
157B	코로나 손 소독 알코올 함량이 궁금합니다.	127
71A	동물들이 코로나 검사를 받아야 하는 이유 	473
277A	입국 방역을 한국은 어떻게 하고있는지 알려줘요	364
139C	스트레스 산책	75
250A	비급여 격리입원치료비 범위가 어떻게 되는지 궁금해요	299
202B	어떤 위기경보의 경우 이동경로가 공개되나요?	212
13A	선별 검사와 확진 검사 동시에 하고 싶은데 될까요?	76
247A	임상 시험 결과 렘데 시비르	288
207C	당국에서 코로나 접촉자에게 무엇을 물어보나요?	220
31A	코로나 확산 방지 위해 교직원이 할 수 있는 일	377
99E	수도권 2.5단계	527
148A	이시국에 야영은 좀 오바인가요?	97
140A	국가별로 출입국 정보를 확인 하는 곳	78
184A	공익적인 이유로 격리 면제가 됐는데 출국 가능해요?	174
179A	코로나에 감염 되어도 수유하는게 문제 없을까요?	162
272A	코로나 확진자는 한국에서 총 몇 명이나 발생했나요?	352
239A	격리 치료비 외 다른 치료비 지원을 해주나요?	278
132B	우리 아이가 코로나가 아닌 다른 질환으로 병원에 가도 될까요?	60
228B	코로나 마른 기침	258
11A	항체 검사 의미	33
19B	덴마크에서 대면 학습을 위해 취한 조치	204
43A	소독제 분사 	398
118B	코로나 유증상자랑 같이 사는 경우 마스크 착용하고 있어야 하나?	30
240A	격리입원치료비 지원기간은 어떻게 되나요?	280
268A	처음에 코로나가 발생한 지역이 어딘지 궁금합니다.	340
137B	코로나가 발병하면 아이들에게 어떻게 대화를 하면 좋을까요?	71
157B	손 소독제의 적절한 알코올 함량에 대해 알려주세요	127
203A	코로나 사망자 추모식 감염	213
207D	자가격리 해야하는 기간이 접촉자들은 얼마나 되나요?	221
85A	감기랑 코로나 구분 가능한지 알려줘요 	501
85A	감기랑 코로나 증상 구분 가능?	501
143A	국가별로 출국 절차가 다른가요?	85
238A	신청 서류들은 뭐가 있나요 격리 입원 치료비	277
176B	임산부들은 숨쉬다가 코로나에 걸릴 확률이 높나요?	158
276A	유럽외 국가에서 입국시 검역 절차	363
204A	코로나 시체 감염	214
210C	간병인 행동요령	229
167A	콘택트 소독액이 COVID-19 방지에 효과가 있나요?	143
51B	살균터널에 사용되는 화학물질은 인체에 무해한가요?	427
157B	몇 퍼센트의 알코올이 손 소독에 적절한가요?	127
136B	애기들은 천 마스크가 안 좋은가요?	67
14A	코로나 검사 과거 병력 이유 	104
230B	코로나에 걸리면 폐렴으로 발전할 가능성이 얼마나 되죠?	262
257A	코로나 블루에 대해 알려주세요	318
279A	챗봇새끼	366
130A	코로나 시국 아이들 친구 모임	57
181C	격리면제서는 언제쯤 발급이 가능한가요?	169
9A	열 스캐너로 코로나19 환자를 찾아낼 수 있나요?	529
198A	격리해제가 미결정이 되면 어떻게 되나요?	201
192B	코로나 유증상 확진자의 격리해지 임상경과 기준이 어떻게 되나요?	188
176C	코로나 감염 임신 면역 체계변화	159
267A	COVID19 전염 방법을 알려주세요	339
92A	일회용 마스크 재사용해도 되나요?	512
208A	코로나 환자 동선 파악 중에 감염자는 어떻게 처리 되나요?	222
278A	누구신가요?	365
43E	건강에 좋지 않은 소독제는 어떤건가요?	402
183B	코호트 설정 되는 방법에 대해 알려주세요	173
68A	코로나 기간에 강아지랑 개들의 공원 가도 됨?	466
202A	코로나 이동경로를 알려주세요	211
254A	코로나 후유증 치료 건강보험	311
178A	수유 중에 코로나를 감염 시킬 수 있나요?	161
149C	의심승객 판정 후	102
144B	태국 가는데 주의사항	89
258A	코로나는 어떻게 확산하는 건가요?	319
191A	자가격리 중 외국인이 출국 가능한 시기를 알려주세요	185
264B	음식 용기 표면 바이러스 생존	334
33C	급식 먹을 때 비접촉식 결제 해야해?	382
278A	안녕 챗봇아	365
180B	양수에서 코로나 바이러스가 검출 된적이 있나요?	166
136A	어린 아이도 마스크를 꼭 착용해야하나요?	66
264A	코로나가 음식을 통해 전파 되기도 하는지 궁금해요	333
132A	아이가 기저질환이 안좋아졌는데 어떻게 하는게 좋을까?	59
206A	접촉자긴 하지만 검사결과는 음성이 나왔어요 자가격리 해야되나요?	217
0A	숨 참아봤는데 괜찮으면 코로나 아니죠?	0
75A	코로나 검사를 동물들도 해야 할까요?	483
109A	지금 시국에 실내에서는 예방을 위해서 어떤 것들을 지켜야 합니까?	15
241A	격리입원치료비 지원 신청범위	281
49D	코로나 방지를 위해 초음파 소독이 효과가 있어요?	419
58A	내보내진 코로나 바이러스 생존 기간	440
111A	코로나 기간에 회식해도 됨?	19
233B	노인들이 코로나에 더 약한가요?	268
57B	인플루엔자 백신이 코로나에도 효과 있어?	439
238A	격리 입원 치료비 신청 시 필요 서류는 어떤것들이 있나요?	277
182B	공동격리가 해제되려면 기준에 꼭 부합해야 하나요?	171
10B	선별 검사 결과 양성으로 코로나 확진 검사를 해야 한다는데 이 경우 급여 청구는 어떻게 하면 되나요?	17
155B	판데믹 기간 중 다른나라 여행은 어떤 위험이 있나요?	122
41B	손 소독제로 다른 것들도 소독이 될까요?	396
211C	코로나 노출 알림 도구란 무엇인가요?	233
53A	다중이용시설에 확잔자 발생 시 언제 다시 열 수 잇어요?	431
181B	격리면제 제도라는게 무엇을 말하는건가요?	168
210C	간병 중 코로나 지침은 어떻게 있나요?	229
94C	전자레인지로 마스크 소독해서 써도 되나?	516
149D	공항에서 의심 승객이 되었는데 격리 장소가 어디인가요?	103
211A	스마트폰으로 접촉자를 추적하게 되면 개인건강정보는 유출 되나요?	231
108A	몇분정도 손 씻어야 제대로 씻은거야?	13
244A	외국에서 온 사람들의 입원치료비 지급받는 방법이 궁금합니다.	284
81A	코로나가 의심되는데 동물과의 접촉은 피하는게 낫죠?	494
67A	동물한테 코로나 옮을 수 있음?	465
196B	해외입국자도 격리 시 생활지원방법	199
185A	확진 받았는데 증상이 없는경우 격리 해제기준을 알고 싶어요	175
33B	학교에서 밥 먹을 때 일회용품 사용이 불가능이면 어떻게 해야해?	381
214A	접촉자랑 만나도 자가격리 해야하나요?	237
142C	기내 공기 순환	84
207A	감염자와 접촉 시 추적중에는 어떻게 하나요?	218
150A	중국에서 입국하는 경우 주의사항	105
214A	밀접 접촉자랑 만난 경우에는 어떻게 행동해야하나요?	237
273D	현재 해외 코로나 감염자는 얼마나 되나요?	359
231B	코로나19에 걸렸을 때 설사 같은 증상이 있다는데 어떻게 알 수 있나요?	264
163A	직장에서 코로나가 발병할 때를 대비해 어떻게 대처 해야하나요?	138
47C	청소하면 바이러스는 죽어요?	411
13A	선별 검사랑 확진 검사 동시에 할 수 있나?	76
116A	거리두기 지침 지키지 않는 사람 처벌하나요?	27
103B	개인 방역 구성 요소 알려줘	6
229A	코로나가 폐를 굳게 할 수 있나요?	259
150B	우한에 방문했던 외국인은 한국에 못오나요?	106
91A	코로나 차단을 마스크 만으로 할 수 있음?	511
188B	생활치료센터는 어떤경우에 들어가게 되나요?	180
115B	음식점 이용할 때 거리두기 위해 지켜야 하는 지침 알려줘요	26
113C	발열 증상 보일 때 얼마나 집에서 쉬는게 좋아?	23
269A	코로나 네이밍 이유	344
272D	국내 코로나 감염된 사람 통계	355
92A	마스크 재사용 가능해요?	512
169B	코로나 치료 HIB 백신	147
72A	코로나가 박쥐로 인해 전파되기도 하나?	475
51A	출입문에 살균 터널 설치하면 코로나 방지 가능해요?	426
202A	코로나 감염자 이동경로 확인	211
10B	확진 검사 시 급여 청구하는 방법은?	17
150C	우한 한국 입국	107
124A	아이들을 코로나로부터 지키려면 어떻게 해야하죠?	43
114A	왜 손 30초 이상 닦아야 하는 지 설명해줘	24
153A	해외여행을 비행기타고 하는데 코로나에 전염 될 수 있나요?	114
145A	이시국에 미국여행자들도 제제를 받나요?	90
41B	다른 물품들 소독에 손 세정제를 이용해도 될까?	396
181B	격리면제 정책이란 무엇인가요?	168
111A	COVID-19 기간 지인 만나도 되나?	19
167B	초음파 세척기가 코로나를 죽일 수 있나요?	144
10B	응급용 corona 선별 검사 결과 양성으로 추가적인 corona 확진 검사가 이루어 져야 할 때 급여 청구 방법은?	17
10A	응급용 corona 선별 검사 결과 양성인 경우 추가적으로 해야하는 코로나 확진 검사의 비용은 얼마인가요?	16
230A	코로나 걸리면 폐에 염증이 생기나요?	261
53B	코로나-19 확진 직원이랑 만난적 없었는데 출근하면 안될까요?	432
39A	등교 재개에 대한 지침	390
230B	코로나가 폐렴으로 갈 확률은 얼마나 되나요?	262
251C	지시 사항에 협조 하지 않은 사람도 치료비용을 지원하나요?	307
205A	코로나로 죽은 사람의 유품을 처리하는 방법에 대해 알려주세요	216
150A	중국 여행 갔다오면 어떤 주의사항들이 있나요?	105
92A	일회용 마스크 또 써도 되나요?	512
24C	실시간 온라인 수업시 출석 체크 방법 알려주세요 	297
59A	코로나 유행인데 헌혈하면 안좋나요?	446
259A	높은 기온에서 코로나가 퍼지는게 힘든가요?	321
210C	코로나 간병인의 행동에 대해 알려주세요	229
175A	아이를 가졌는데 코로나 예방 수칙을 알려주세요	156
191A	외국인이라 자가격리 중인데 출국가능 한가요?	185
147D	코로나로 생각되는 체온	96
58B	corona 바이러스가 마스크 위에 붙어서 살 수 있는 기간 	441
4C	하기도 검체란?	422
110A	항균 필름	18
194B	자가격리 중에 어떻게 욕실을 사용해야 코로나를 예방 할 수 있을까요?	192
43A	분사하며 소독하면 소독이 더 효과적이야?	398
87A	개인방역 5대 핵심수칙	503
72A	박쥐 코로나 	475
273B	외국에 코로나로 죽은 사람은 총 얼마나 되나요?	357
126A	기존에 질환을 앓고 있는 아이를 둔 가정은 아이의 안전을 위해 어떤 추가적인 조치 취할 수 있어요?	47
196A	자가격리 하면 어떤 생활을 지원해주나요?	198
207B	접촉자라는데 자가격리 해야될까요?	219
95A	공기 안좋은 날에도 환기하는게 좋은건지 궁금해요	519
108A	자주 손 씻으면 좋아?	13
174A	중국에서 입국합니다 검역 절차에 대해 알려주세요	155
35A	학생들에게 코로나에 대해서 어떻게 가르치면 될까요? 	384
118A	한집에 사는 사람이 호흡기 증상을 보여요	29
63A	강아지와 미국 여행	457
161C	증상없는데 꼭 마스크 착용 해야되나요?	135
30A	코로나 감염 정도가 상당한 지역에서는 학교가 어떻게 코로나를 대비해야해?	375
218B	접촉자를 계속 찾으려는 이유를 알려주세요	242
222B	자가격리 중 증상이 보이면 어디에 먼저 연락하나요?	250
234C	기존에 어떤 질환이 있었으면 코로나에 더 위험하나요?	272
83A	발열 자가격리	496
89A	환기 안하고 공기청정기만 틀어도 괜찮아?	505
136A	어린이들은 마스크를 꼭 써야되나요?	66
220A	접촉자들은 어떤 과정을 겪게 되나요?	247
163A	직장 코로나 대비 요령	138
151A	중국 여행 가고 싶은데 코로나 기간 중에 괜찮을까요?	109
108A	손은 얼마에 한번 씻어야해?	13
234B	코로나 중증상이 나타날 확률을 알려줘	271
136A	아이들도 마스크가 효과가 있나요?	66
63A	코로나 시국에 강아지와 미국으로 여행을 갈 수 있을까요?	457
120A	지침 지킬 수 없으면?	37
58C	공기중에서 코로나 바이러스는 얼마나 살지?	442
94C	전자레인지로 마스크 소독 가능?	516
226A	아이들은 코로나 걸렸을때 증상이 더 아픈가요?	255
148A	코로나 야영 관계	97
168A	안경쓰는게 눈으로 감염되는걸 막아주나요?	145
143A	코로나 기간 중 타국 출국 절차	85
66B	코로나 확진자와 강아지가 접촉했는데 어떻게할까요?	463
59A	코로나 유행인데 헌혈해도 되겠죠?	446
12A	코로나 재양성	55
58A	배출된 corona virus 얼마나 살아?	440
85A	감기랑 코로나 어떻게 구분하는지 알려줘 	501
83A	열나는데 자가격리 해야해요?	496
255B	거리두기 3단계로 격상되는 기준에 대해 알려주세요	314
83A	발열 증세가 있다면 자가격리 해야될까?	496
207C	밀접 접촉자는 담당자가 무엇을 물어보나요?	220
272B	한국의 코로나 사망자는 몇?	353
212B	마스크는 코로나 전염을 막지 못하나요?	235
258A	코로나 확산이 어떻게 되는건지 알려주세요	319
47B	표면 위에서 바이러스 생존 기간 	410
148C	나이가 많은데 야영 해도 될까요?	99
178A	코로나가 수유를 통해 전염 되나요?	161
265A	지역사회 감염에 대해 설명해주세요	335
59B	혈액 기증자의 안전을 위해 어떤 주의사항을 주고 있나요?	447
272C	한국 코로나 완치자 숫자는?	354
73C	미국은 어떤 동물 제품의 수입을 USDA가 막고 있나요?	478
280A	정말 감사해요 알려줘서	369
89A	공기 청정기로 환기 대체하면 안됨?	505
9B	열 스캐너가 잠복기인 환자들을 잡아낼 수 있어요?	530
259F	코로나 바이러스 계절	326
249C	심장 질환이 코로나로 인해 악화되면 격리입원치료비를 지원 받을 수 있나요?	294
70A	코로나 기간에 동물 입양해 와도 안 위험하겠죠?	472
242A	산재 지원비와 코로나 치료비 지원과의 차이를 알려주세요	282
9B	열 스캐너가 잠복기인 환자들을 감지할 수 있을까요?	530
15A	출석 못한 학생들이 많아지면 학교는 어떻게 해야할까요?	131
180A	배에 아기도 코로나에 걸릴 위험이 존재 하나요?	165
25A	온라인 수업이면 수행평가 학생부 기재가 어떻게 되는지 궁금해요 	327
89C	환기하면 코로나 도움 됨?	507
123A	COVID-19 증상은 어린이와 성인의 차이가 있습니까?	42
266C	코로나가 혈액로 퍼질 수 있나요?	338
192C	코로나 유증상 확진자의 격리해제 검사 기준을 알려주세요	189
31A	corona 예방 하려면 교직원들은 뭘 하면 될까?	377
122A	기침할 때 휴지로 입 가리는게 도움 되나요?	40
40B	치아염소산나트륨으로 소독한 곳은 언제 다시 개방해도 되나요?	394
95A	미세 먼지가 많은데 환기해야해?	519
26C	원격 수업 시 담임 교사는 어떻게 출결 처리 함?	348
3A	코로나 검사 어디서 해줘요?	391
233C	이미 질환이 있으면 코로나에 위험해지나요?	269
11D	우리나라는 코로나 진단할 때 항체 검사를 이용해요?	36
272D	국내 코로나 감염자는 몇 명이에요?	355
143A	출국 절차가 다른 나라는 어떤가요?	85
119A	코로나 루머 접했을 때 어떻게 대처해야할까?	32
244B	격리입원치료비를 외국인도 지원해줘요?	285
141A	몸이 아픈 사람이 비행기에 탔으면 어떻게 되나요?	79
266C	확진자의 피가 코로나 바이러스 전파를 시킬 수 있는지 궁금해요	338
227A	다시 감염될 수 있나요 코로나 바이러스에?	256
193A	임상경과 기준이 어떻게 되나요 코로나 격리해지를 위해서는?	190
268B	코로나와 메르스의 유래는 어떻게 다른가요?	341
231A	열 없이 코로나인 사람은 어떻게 확인 할 수 있죠?	263
43B	몸에 최악인 포름알데히드 소독제	399
0A	covid-19환자는 10초간 숨참기 힘들어하나요?	0
53B	확진자와 밀접 접촉 없던 직원 근무 재개 시기	432
112A	코로나 시국에 밀폐 된 공간에서는 어떻게 행동해야하지?	20
251C	권고사항을 지키지 안았는데도 치료비용을 받을 수 있나요?	307
94C	마스크를 전자레인지로 소독해도 되나요?	516
244A	외국에서 온사람은 격리입원 치료비를 어떻게 받을 수 있나요?	284
83C	유증상자랑 같이 사는데 화장실은?	498
93A	모두 마스크 착용하더라도 거리두기가 중요한가요?	513
103B	어떤 요소들로 개인 방역이 구성되어있는지 알려줘	6
175A	코로나 예방을 위한 임산부 수칙이 따로 있나요?	156
83C	유증상자랑 화장실	498
132D	만성질환이 악화되면 아이들을 어떻게 해야하죠?	62
190B	코호트 격리 중인데 병실은 어떻게 관리 되죠?	184
9B	잠복기인 사람들을 열 스캐너로 찾는게 가능할까요?	530
162A	지역사회 감염 대비 대책	136
130A	COVID-19 기간에 아이가 친구들고 놀아도 괜찮을까요?	57
149A	공항 코로나 의심승객 검사	100
83A	열나는데 격리해야함?	496
272C	국내 코로나 완치자는 몇 명이에요?	354
138A	코로나 기간인데 우리 아이들 건강은 어떻게 care 하죠?	72
134A	코로나 기간중에도 학교 급식 하나요?	64
15A	교내 출근한 직원 수 적을 때	131
77B	코로나 걸린 야생동물에게 전염 되지 않기 위한 예방법 알려줘	486
73A	코로나 기간에 수입 동물은 어떻게 취급해야해?	476
84A	가정에서 소독	499
260A	모기가 코로나를 퍼트릴 수 있나요?	328
0A	10초 동안 숨 참았는데 문제 없네요 코로나 아니죠?	0
206A	코로나에 접촉했는데 결과는 음성으로 나와요 자가격리 해야되나요?	217
202B	확진자 동선공개 위기경보 단계	212
99F	코로나 2.5단계 학원	528
201A	코로나 다 나은후 다시 접촉시 관리 방법	210
1A	가래가 있는 환자는 채취 유도 하나?	206
253A	환자가 먼저 자기 부담금을 납입했는데, 나중에 청구하는 방법을 알려주세요	310
65A	동물 피부로 인해 코로나 걸릴 수 있음?	460
244A	다른 나라에서 온 사람들의 격리입원치료비 지급받는 방법을 알려주세요	284
97A	야외가 실내보다 코로나 안전해?	521
57B	코로나 예방에 인플루엔자 백신이 도움 되나?	439
247B	렘데시비르 정보	289
234C	코로나 취약 환자 질환	272
268A	코로나 첫 발생지역이 궁금해요	340
109A	지금 시국에 내부에서 지켜야 하는 예방 수칙은?	15
